location,BHK,sqft,price
Akshaya Nagar,2,1314.0,68.8
Akshaya Nagar,3,1690.0,85.0
Akshaya Nagar,2,1265.0,67.0
Akshaya Nagar,2,1126.0,55.0
Akshaya Nagar,3,2300.0,102.0
Akshaya Nagar,3,1662.0,90.0
Akshaya Nagar,3,1420.0,75.0
Akshaya Nagar,3,1412.0,88.0
Akshaya Nagar,3,1434.0,84.0
Akshaya Nagar,3,1890.0,100.0
Akshaya Nagar,3,2650.0,125.0
Akshaya Nagar,3,1419.0,87.0
Akshaya Nagar,2,1300.0,54.0
Akshaya Nagar,3,1690.0,85.0
Akshaya Nagar,2,1113.0,52.0
Akshaya Nagar,3,1820.0,95.0
Akshaya Nagar,2,1100.0,48.0
Akshaya Nagar,3,1896.0,102.0
Akshaya Nagar,2,1300.0,66.0
Akshaya Nagar,2,1225.0,68.0
Akshaya Nagar,2,1179.0,51.0
Akshaya Nagar,3,1421.0,73.0
Akshaya Nagar,3,1893.0,95.0
Akshaya Nagar,2,900.0,45.0
Ambalipura,2,1105.0,75.0
Ambalipura,3,1800.0,110.0
Ambalipura,2,1150.0,80.0
Ambalipura,2,1250.0,66.25
Ambalipura,2,1332.0,79.0
Ambalipura,3,1730.0,120.0
Ambalipura,3,3500.0,198.0
Ambalipura,2,1230.0,66.25
Ambalipura,2,1351.0,77.0
Ambalipura,4,2550.0,149.0
Ambalipura,3,1817.0,102.0
Ambalipura,4,2750.0,142.0
Ambalipura,2,1303.0,80.0
Ambalipura,3,1607.0,112.0
Ambalipura,1,770.0,43.82
Ambalipura,2,1700.0,76.0
Ambalipura,2,1060.0,58.5
Ambalipura,3,1650.0,100.0
Ambalipura,3,1607.0,112.0
Ambalipura,2,1198.0,80.0
Ambedkar Nagar,3,1935.0,130.0
Ambedkar Nagar,2,1424.0,90.0
Ambedkar Nagar,3,2225.0,169.0
Ambedkar Nagar,3,1862.0,120.0
Ambedkar Nagar,3,1850.0,139.0
Ambedkar Nagar,3,1936.0,126.0
Ambedkar Nagar,3,1862.0,119.0
Ambedkar Nagar,2,1424.0,90.0
Ambedkar Nagar,3,2150.0,125.0
Ambedkar Nagar,4,3530.0,290.0
Ambedkar Nagar,3,1856.0,120.0
Ambedkar Nagar,3,1852.0,130.0
Ambedkar Nagar,3,1850.0,120.0
Ambedkar Nagar,2,1367.0,86.0
Ambedkar Nagar,4,3565.0,255.0
Ambedkar Nagar,2,1409.0,95.0
Ambedkar Nagar,3,1950.0,120.0
Ambedkar Nagar,3,1921.0,129.0
Ambedkar Nagar,3,1920.0,121.0
Ambedkar Nagar,3,1935.0,125.0
Ambedkar Nagar,3,1852.0,122.0
Ambedkar Nagar,3,1950.0,120.0
Ambedkar Nagar,3,1852.0,125.0
Ambedkar Nagar,3,1850.0,121.0
Ambedkar Nagar,2,1425.0,94.0
Ambedkar Nagar,3,2395.0,150.0
Amruthahalli,2,900.0,40.0
Amruthahalli,2,1200.0,55.0
Amruthahalli,3,1900.0,135.0
Amruthahalli,2,924.0,45.0
Amruthahalli,2,900.0,60.0
Amruthahalli,2,1100.0,45.0
Amruthahalli,2,1200.0,55.0
Amruthahalli,3,1350.0,63.0
Amruthahalli,3,1605.0,65.0
Amruthahalli,3,1700.0,77.0
Amruthahalli,3,1450.0,85.0
Amruthahalli,2,1200.0,55.0
Amruthahalli,2,1250.0,79.0
Amruthahalli,2,1190.0,50.0
Amruthahalli,2,1202.0,65.0
Amruthahalli,2,1340.0,75.0
Amruthahalli,3,2650.0,175.0
Amruthahalli,3,1450.0,90.0
Amruthahalli,2,1025.0,42.0
Amruthahalli,1,485.0,19.5
Anandapura,2,1167.0,43.76
Anandapura,2,1000.0,55.0
Anandapura,2,1141.0,42.79
Anandapura,3,1576.0,59.1
Anandapura,2,1200.0,67.0
Anandapura,2,1200.0,58.0
Anandapura,2,1151.0,43.1
Anandapura,2,1141.0,42.75
Anandapura,2,900.0,48.0
Anandapura,4,1749.0,90.0
Anandapura,2,1151.0,42.9
Anandapura,3,1576.0,58.0
Anandapura,2,1250.0,45.0
Anandapura,2,875.0,57.0
Anandapura,2,1151.0,43.16
Anandapura,2,1200.0,58.0
Anandapura,3,1200.0,66.0
Anandapura,3,1415.0,74.0
Anandapura,2,1200.0,50.0
Anandapura,2,1141.0,50.0
Anandapura,3,1576.0,58.7
Ananth Nagar,1,500.0,14.0
Ananth Nagar,2,1100.0,31.5
Ananth Nagar,2,982.0,24.55
Ananth Nagar,1,500.0,14.0
Ananth Nagar,2,900.0,22.5
Ananth Nagar,2,908.0,26.0
Ananth Nagar,2,870.0,36.0
Ananth Nagar,2,937.0,35.0
Ananth Nagar,2,960.0,37.0
Ananth Nagar,1,500.0,14.0
Ananth Nagar,2,1000.0,29.7
Ananth Nagar,2,850.0,25.99
Ananth Nagar,2,902.0,25.26
Ananth Nagar,3,1470.0,54.0
Ananth Nagar,2,810.0,25.5
Ananth Nagar,2,890.0,27.0
Ananth Nagar,2,1200.0,36.0
Ananth Nagar,3,1319.0,37.75
Ananth Nagar,3,1319.0,42.0
Ananth Nagar,2,1000.0,25.0
Ananth Nagar,2,902.0,25.0
Ananth Nagar,2,930.0,25.99
Ananth Nagar,2,1074.0,26.85
Ananth Nagar,1,500.0,14.0
Ananth Nagar,2,1010.0,38.0
Ananth Nagar,2,992.0,24.8
Anekal,2,1200.0,36.0
Anekal,2,656.0,22.0
Anekal,2,620.0,22.0
Anekal,1,600.0,16.5
Anekal,2,925.0,40.0
Anekal,1,530.0,18.0
Anekal,3,1800.0,68.0
Anekal,2,1200.0,36.0
Anekal,3,351.0,16.0
Anekal,2,1035.0,38.3
Anekal,2,888.0,34.0
Anekal,2,1200.0,36.1
Anekal,2,700.0,19.4
Anekal,2,1200.0,36.0
Anekal,4,1200.0,36.0
Anekal,2,766.0,28.0
Anekal,3,967.0,45.0
Anekal,2,620.0,23.5
Anekal,3,1150.0,45.0
Anekal,2,1200.0,36.0
Anekal,2,1200.0,36.0
Anekal,1,400.0,11.5
Anekal,1,456.0,15.0
Anekal,2,1200.0,36.0
Anekal,2,1200.0,36.0
Anekal,3,2400.0,95.0
Anekal,2,1200.0,36.1
Anekal,2,1200.0,36.1
Anekal,2,680.0,21.0
Anekal,1,420.0,12.5
Anekal,2,614.0,28.0
Anekal,2,1140.0,52.0
Anekal,2,625.0,25.0
Anjanapura,4,1850.0,86.0
Anjanapura,2,1070.0,39.0
Anjanapura,3,1500.0,121.0
Anjanapura,2,1070.0,37.0
Anjanapura,2,950.0,40.0
Anjanapura,3,1280.0,45.0
Anjanapura,2,710.0,25.0
Anjanapura,3,1347.0,37.72
Anjanapura,2,950.0,32.0
Anjanapura,4,1800.0,55.0
Anjanapura,3,1843.0,87.54
Anjanapura,2,1076.0,30.13
Anjanapura,2,950.0,30.0
Ardendale,3,1750.0,100.0
Ardendale,4,3198.0,200.0
Ardendale,4,2422.0,160.0
Ardendale,3,1750.0,100.0
Ardendale,4,3200.0,205.0
Ardendale,3,1728.0,95.0
Ardendale,4,2062.0,140.0
Ardendale,3,1732.46,92.0
Ardendale,4,2062.0,150.0
Ardendale,4,2800.0,140.0
Ardendale,2,1224.0,70.0
Ardendale,3,1777.26,105.0
Ardendale,3,1650.0,82.0
Ardendale,4,2062.0,140.0
Ardendale,3,1650.0,82.0
Ardendale,2,1224.0,67.0
Ardendale,3,1723.0,95.0
Ardendale,3,1777.26,89.0
Ardendale,3,1777.26,92.0
Arekere,2,1222.0,45.0
Arekere,3,2060.0,140.0
Arekere,2,920.0,40.0
Arekere,3,1740.0,95.0
Arekere,2,1190.0,55.0
Arekere,1,600.0,28.0
Arekere,3,2072.0,108.0
Arekere,2,1100.0,55.0
Arekere,3,1445.0,125.0
Arekere,2,900.0,50.0
Arekere,3,2060.0,150.0
Arekere,4,2710.0,142.0
Arekere,3,2400.0,180.0
Arekere,2,1240.0,60.0
Arekere,2,900.0,44.5
Attibele,1,450.0,11.0
Attibele,4,1600.0,52.8
Attibele,2,656.0,25.0
Attibele,1,400.0,11.0
Attibele,1,400.0,12.0
Attibele,1,400.0,14.0
Attibele,1,500.0,17.0
Attibele,4,2168.0,95.0
Attibele,1,395.0,10.25
Attibele,1,420.0,17.0
Attibele,3,1639.0,40.98
Attibele,1,418.0,12.0
Attibele,2,1200.0,42.0
Attibele,1,400.0,10.0
Attibele,2,695.0,25.0
Attibele,2,850.0,25.0
Attibele,3,2400.0,120.0
Attibele,1,450.0,12.5
Attibele,2,995.0,24.88
Attibele,2,900.0,25.0
Attibele,2,1174.0,29.35
Attibele,1,782.0,19.55
Attibele,2,1175.0,29.38
Attibele,2,656.0,25.0
Attibele,1,400.0,11.5
Attibele,1,460.0,13.0
Attibele,1,418.0,11.5
Attibele,2,1000.0,42.0
Attibele,1,550.0,11.5
Attibele,2,996.0,24.9
Attibele,1,410.0,10.0
Attibele,3,1700.0,65.0
Attibele,1,400.0,10.25
Attibele,2,656.0,25.0
Attibele,3,1500.0,90.0
Attibele,1,520.0,15.0
BEML Layout,2,1060.0,55.0
BEML Layout,3,2000.0,85.0
BEML Layout,2,999.0,45.0
BEML Layout,4,1196.0,150.0
BEML Layout,5,2400.0,225.0
BEML Layout,3,2000.0,85.0
BEML Layout,2,1194.0,65.0
BEML Layout,2,1200.0,67.0
BEML Layout,2,2400.0,228.0
BEML Layout,3,2000.0,85.0
BEML Layout,3,2000.0,85.0
BEML Layout,2,1194.0,65.0
BTM 2nd Stage,3,1260.0,185.0
BTM 2nd Stage,2,950.0,52.0
BTM 2nd Stage,3,1850.0,170.0
BTM 2nd Stage,2,1200.0,80.0
BTM 2nd Stage,2,1274.0,70.0
BTM 2nd Stage,3,1250.0,50.0
BTM 2nd Stage,2,1070.0,48.0
BTM 2nd Stage,2,1280.0,80.0
BTM 2nd Stage,2,1100.0,70.0
BTM 2nd Stage,2,1000.0,58.0
BTM 2nd Stage,5,2990.0,416.0
BTM 2nd Stage,2,1265.0,55.0
BTM 2nd Stage,3,2200.0,220.0
BTM 2nd Stage,3,2780.0,325.0
BTM 2nd Stage,3,2400.0,360.0
BTM 2nd Stage,2,965.0,56.0
BTM 2nd Stage,2,1147.0,75.0
BTM 2nd Stage,3,1750.0,172.0
BTM 2nd Stage,2,1400.0,90.0
BTM 2nd Stage,2,1200.0,70.0
BTM 2nd Stage,2,1100.0,47.0
BTM 2nd Stage,2,930.0,46.0
BTM 2nd Stage,3,1265.0,55.0
BTM 2nd Stage,3,2500.0,345.0
BTM Layout,2,1150.0,63.0
BTM Layout,6,3300.0,165.0
BTM Layout,3,1450.0,81.0
BTM Layout,3,1776.0,75.0
BTM Layout,3,1458.0,79.0
BTM Layout,2,935.0,51.5
BTM Layout,2,1020.0,46.5
BTM Layout,3,1600.0,112.0
BTM Layout,3,1300.0,75.0
BTM Layout,3,1540.0,78.0
BTM Layout,1,450.0,20.0
